"LDTrt","freqfilms","Nlett","OLD20","AoA","IMA"
640.2,8.96,6,1.65,7,6.4
625,90.77,6,1.35,6.3,4.8
719.8,3.54,4,1.6,7.1,6.4
653.2,2.73,5,1.95,5.6,6.6
760.6,17.02,5,1.9,10.2,2.5
633.8,212.82,6,1.95,6.9,5.8
622.5,121.84,6,1.6,6.8,5.2
637.4,20.61,5,1.45,8.5,5.1
624,9.18,3,1.95,7.1,5.9
684.9,9.02,5,1.25,6.9,6.5
688.2,2.6,4,1,7.9,6.2
628.3,31.49,5,1.4,9.6,3.4
679.2,0.15,4,1.4,12.4,2.9
618.8,9.73,4,1.65,9.2,5.5
734.3,0.26,5,1.3,10.2,4
692.9,18.04,5,1.5,10.1,2.8
691.3,3.42,6,1.55,8.1,6.2
774.5,0.42,6,1.95,12,2.5
736.9,0.94,5,1.6,9.1,5.8
672.1,20.93,4,1.35,9.9,2.3
734.6,3.57,6,1.4,9.5,3.2
609.7,139.95,4,1.55,4.7,3.6
768.9,0.85,5,1.75,12.2,2.5
672.6,27.64,5,1.55,4.7,6.7
808.7,0.09,5,2,12.9,2.4
654,415.4,5,1.65,5.9,3.9
599,223.77,4,1.65,5.2,2.9
556.1,781.11,5,1.6,4.7,6.7
615.4,103.26,5,1.6,7.5,3.1
595.8,71.94,4,1.6,8.9,1.6
640.3,13.43,4,1.75,10.4,3.8
698.9,1,5,1.5,6.7,5.9
759.6,0.44,5,1.35,12.7,3.1
756.9,0.35,6,1.6,9.2,5.7
741.1,0.07,4,1.55,8.1,5.9
632.3,20.32,5,1.6,8.5,6.2
647.9,58.47,4,1.45,4.7,5.1
638.1,1.41,6,2.1,8.1,6.7
750.2,9.66,6,2.15,11.3,2.7
714.3,3.25,5,1.75,9.1,5.1
732.1,1.64,5,1.85,9.5,6.2
740.9,5.37,5,2,10.1,4
706.5,13223.34,2,1.3,4.4,1.8
699.7,50.2,3,1.85,6.4,6.4
741.6,16.59,4,1.7,9.7,5.6
612.7,46.31,5,1.85,4.1,6.6
744.8,1.17,5,1.7,10.7,5.1
788.7,1.39,5,1.45,12,4.1
628.5,21.91,5,1.65,3.8,6
626,7.38,4,1.95,9.9,4.6
588.3,25988.48,2,1.35,3.7,2.5
576.2,3.62,4,1.9,8,6.3
624.4,7.96,3,1.35,9.3,4.7
585.7,156.79,3,1.55,4.2,4.9
588.9,253.06,5,1.8,6.5,5.5
690.2,2.05,5,1.7,10.6,4.4
627.8,27.24,3,1.65,11.7,4.8
568.6,71.07,4,1.55,6.6,4.2
639.1,32.91,7,1.75,9.3,2.9
703.3,9.46,5,1.75,10.4,4
753.2,0.46,7,2.3,10.2,2.1
611.1,148.45,4,1,4.4,4.7
654.6,70.73,4,1.3,4.6,3.3
